method,metric,n_pairs,mean_method,std_method,mean_dsp,std_dsp,wilcoxon_stat,p_value,cliffs_delta,sig_bonferroni,sig_holm
ablation_score_only,min_pairwise_de2000,75,25.092574773061557,5.418134819804357,24.92065888307958,5.642325239437286,187.5,0.722354,0.0103,False,False
ablation_score_only,wcag_aa_coverage,75,0.3146666666666667,0.10226268947009784,0.3173333333333333,0.09638511342572613,0.0,0.317311,-0.0037,False,False
ablation_score_only,reconstruction_error_de2000,75,9.742242425326467,3.409258628056323,9.782774592879372,3.4281848869562874,335.5,0.214045,-0.008,False,False
ablation_score_only,harmony_alignment,75,0.4624508567691778,0.1539800599318373,0.4620132300709986,0.1532943493510177,634.5,0.352309,0.0021,False,False
ablation_score_constraint,min_pairwise_de2000,75,25.092574773061557,5.418134819804357,24.92065888307958,5.642325239437286,187.5,0.722354,0.0103,False,False
ablation_score_constraint,wcag_aa_coverage,75,0.3146666666666667,0.10226268947009784,0.3173333333333333,0.09638511342572613,0.0,0.317311,-0.0037,False,False
ablation_score_constraint,reconstruction_error_de2000,75,9.742242425326467,3.409258628056323,9.782774592879372,3.4281848869562874,335.5,0.214045,-0.008,False,False
ablation_score_constraint,harmony_alignment,75,0.4624508567691778,0.1539800599318373,0.4620132300709986,0.1532943493510177,634.5,0.352309,0.0021,False,False
ablation_full_dsp,min_pairwise_de2000,75,24.920658883079582,5.64232523943729,24.92065888307958,5.642325239437286,181.5,0.622115,-0.0007,False,False
ablation_full_dsp,wcag_aa_coverage,75,0.3173333333333333,0.09638511342572613,0.3173333333333333,0.09638511342572613,0.0,,0.0,False,False
ablation_full_dsp,reconstruction_error_de2000,75,9.782774592879372,3.428184886956287,9.782774592879372,3.4281848869562874,368.5,0.417144,-0.0002,False,False
ablation_full_dsp,harmony_alignment,75,0.46201323007098616,0.15329434935100034,0.4620132300709986,0.1532943493510177,674.5,0.558124,0.0014,False,False
ablation_freq_only,min_pairwise_de2000,75,13.32469177695309,3.2584630464038167,24.92065888307958,5.642325239437286,0.0,0.0,-0.9132,True,True
ablation_freq_only,wcag_aa_coverage,75,0.28400000000000003,0.12524570446321298,0.3173333333333333,0.09638511342572613,619.5,0.097466,-0.1609,False,False
ablation_freq_only,reconstruction_error_de2000,75,8.067001437699508,3.0916853399860056,9.782774592879372,3.4281848869562874,241.0,0.0,-0.3333,True,True
ablation_freq_only,harmony_alignment,75,0.4481717772139688,0.17469504976694564,0.4620132300709986,0.1532943493510177,1230.0,0.303147,-0.0204,False,False
ablation_dist_only,min_pairwise_de2000,75,24.889786841865718,5.669833849604334,24.92065888307958,5.642325239437286,359.5,0.113401,-0.0028,False,False
ablation_dist_only,wcag_aa_coverage,75,0.3213333333333333,0.09904044128036289,0.3173333333333333,0.09638511342572613,12.0,0.388323,0.0226,False,False
ablation_dist_only,reconstruction_error_de2000,75,9.774338521866516,3.34803759769124,9.782774592879372,3.4281848869562874,624.0,0.220703,-0.0034,False,False
ablation_dist_only,harmony_alignment,75,0.4616788915756805,0.1444748046935048,0.4620132300709986,0.1532943493510177,997.5,0.776229,-0.0039,False,False
kmeans_lab_constrained,min_pairwise_de2000,75,22.906164144002652,5.343373455043744,24.92065888307958,5.642325239437286,598.0,1.3e-05,-0.2082,True,True
kmeans_lab_constrained,wcag_aa_coverage,75,0.2893333333333334,0.09942175156717309,0.3173333333333333,0.09638511342572613,335.0,0.05909,-0.1548,False,False
kmeans_lab_constrained,reconstruction_error_de2000,75,8.560087070573797,2.8080243748885274,9.782774592879372,3.4281848869562874,332.0,0.0,-0.2373,True,True
kmeans_lab_constrained,harmony_alignment,75,0.43611461085085845,0.16971544354025186,0.4620132300709986,0.1532943493510177,1091.0,0.077781,-0.0844,False,False
